"","year","month","spei"
"532",1945,4,0.476818770170212
"533",1945,5,0.530311107635498
"534",1945,6,-0.0676673278212547
"535",1945,7,-0.21793121099472
"536",1945,8,0.385994672775269
"537",1945,9,0.396518558263779
"538",1945,10,-0.513133883476257
"539",1945,11,-1.06907069683075
"540",1945,12,-1.23352539539337
"541",1946,1,-1.5649573802948
"542",1946,2,-1.5909126996994
"543",1946,3,-1.57864594459534
"544",1946,4,-1.96113502979279
"545",1946,5,-2.16466903686523
"546",1946,6,-1.99815738201141
"547",1946,7,-1.87610292434692
"548",1946,8,-1.97557497024536
"549",1946,9,-2.23005652427673
"550",1946,10,-2.21230626106262
"551",1946,11,-1.99781489372253
"552",1946,12,-1.87670707702637
"553",1947,1,-1.90530908107758
"554",1947,2,-1.21952843666077
"555",1947,3,-0.885929584503174
"556",1947,4,-0.826368868350983
"557",1947,5,-0.808815777301788
"558",1947,6,-0.527203857898712
"559",1947,7,-0.552389800548553
"560",1947,8,-0.529335141181946
"561",1947,9,-0.576611638069153
"562",1947,10,-0.83945494890213
"563",1947,11,-1.27872443199158
"564",1947,12,-1.28302109241486
"565",1948,1,-0.682928442955017
"566",1948,2,-1.36126935482025
"567",1948,3,-1.74530005455017
"568",1948,4,-1.50096297264099
"569",1948,5,-1.49659967422485
"570",1948,6,-1.04613161087036
"571",1948,7,-0.00766360061243176
"572",1948,8,0.161602154374123
"573",1948,9,0.500355064868927
"574",1948,10,0.959749758243561
"575",1948,11,1.11677598953247
"576",1948,12,0.725654661655426
"577",1949,1,0.00709621049463749
"578",1949,2,-0.229320093989372
"579",1949,3,-0.136611938476562
"580",1949,4,-0.369884967803955
"581",1949,5,-0.221391707658768
"582",1949,6,-0.801604509353638
"583",1949,7,-1.58534038066864
"584",1949,8,-1.30719327926636
"585",1949,9,-1.44783234596252
"586",1949,10,-1.90649461746216
"587",1949,11,-1.66632831096649
"588",1949,12,-1.5442259311676
"589",1950,1,-1.40784752368927
"590",1950,2,-1.09017217159271
"591",1950,3,-1.11469542980194
"592",1950,4,-0.707794785499573
"593",1950,5,-1.33710622787476
"594",1950,6,-1.68476486206055
"595",1950,7,-1.81259846687317
"596",1950,8,-1.86457359790802
"597",1950,9,-1.57746183872223
"598",1950,10,-1.16298627853394
"599",1950,11,-1.15924656391144
"600",1950,12,-0.533465147018433
"601",1951,1,-0.413518846035004
"602",1951,2,-0.344789773225784
"603",1951,3,0.304589658975601
"604",1951,4,0.0984002202749252
"605",1951,5,0.826174795627594
"606",1951,6,1.47817444801331
"607",1951,7,2.00109648704529
"608",1951,8,2.05111598968506
"609",1951,9,2.21487283706665
"610",1951,10,1.76888799667358
"611",1951,11,1.38942182064056
"612",1951,12,0.90093857049942
"613",1952,1,1.09475231170654
"614",1952,2,1.05404460430145
"615",1952,3,0.561827838420868
"616",1952,4,0.311890184879303
"617",1952,5,-0.182653546333313
"618",1952,6,-0.659844815731049
"619",1952,7,-1.49525141716003
"620",1952,8,-1.24257814884186
"621",1952,9,-1.26398992538452
"622",1952,10,-0.598707795143127
"623",1952,11,-0.583815932273865
"624",1952,12,-0.00701924646273255
"625",1953,1,-0.34214460849762
"626",1953,2,-0.451297581195831
"627",1953,3,-0.677026271820068
"628",1953,4,-0.516628980636597
"629",1953,5,-0.0221919696778059
"630",1953,6,0.47142106294632
"631",1953,7,0.775711476802826
"632",1953,8,1.11437940597534
"633",1953,9,0.888910472393036
"634",1953,10,0.161568507552147
"635",1953,11,-0.147425919771194
"636",1953,12,-0.766952991485596
"637",1954,1,-0.786209166049957
"638",1954,2,-0.838323950767517
"639",1954,3,-0.166163697838783
"640",1954,4,-0.0346299968659878
"641",1954,5,0.553025662899017
"642",1954,6,0.613619267940521
"643",1954,7,0.825220823287964
"644",1954,8,0.558794856071472
"645",1954,9,0.595803618431091
"646",1954,10,0.711340606212616
"647",1954,11,0.980293869972229
"648",1954,12,1.06105315685272
"649",1955,1,0.898898243904114
"650",1955,2,1.28992688655853
"651",1955,3,1.34360527992249
"652",1955,4,1.11921048164368
"653",1955,5,0.866237938404083
"654",1955,6,0.515303730964661
"655",1955,7,0.582447826862335
"656",1955,8,0.60971611738205
"657",1955,9,0.650268197059631
"658",1955,10,1.34426856040955
"659",1955,11,1.24228656291962
"660",1955,12,1.14734554290771
"661",1956,1,1.19962990283966
"662",1956,2,0.93889707326889
"663",1956,3,0.605507910251617
"664",1956,4,1.0254739522934
"665",1956,5,0.674610555171967
"666",1956,6,1.00863862037659
"667",1956,7,0.514447689056396
"668",1956,8,0.099943533539772
"669",1956,9,-0.403954446315765
"670",1956,10,-0.825802445411682
"671",1956,11,-0.570791661739349
"672",1956,12,-0.507858276367188
"673",1957,1,-0.503404021263123
"674",1957,2,-0.490235984325409
"675",1957,3,-0.814880430698395
"676",1957,4,-0.849722981452942
"677",1957,5,-0.375210046768188
"678",1957,6,-1.14250695705414
"679",1957,7,-0.518359839916229
"680",1957,8,-0.301365971565247
"681",1957,9,0.17480830848217
"682",1957,10,0.11988603323698
"683",1957,11,-0.288053035736084
"684",1957,12,-0.34278929233551
"685",1958,1,-0.0567839182913303
"686",1958,2,-0.111653044819832
"687",1958,3,0.331906050443649
"688",1958,4,0.169746533036232
"689",1958,5,-0.776638805866241
"690",1958,6,-0.134023725986481
"691",1958,7,-0.691272377967834
"692",1958,8,-1.01825559139252
"693",1958,9,-1.10120058059692
"694",1958,10,-1.07387232780457
"695",1958,11,-0.535209953784943
"696",1958,12,-0.396959573030472
"697",1959,1,-0.60630464553833
"698",1959,2,-0.958532929420471
"699",1959,3,-1.16353476047516
"700",1959,4,-1.16815745830536
"701",1959,5,-0.418451100587845
"702",1959,6,-0.123974859714508
"703",1959,7,0.0928692892193794
"704",1959,8,0.67739075422287
"705",1959,9,0.492808610200882
"706",1959,10,0.280879110097885
"707",1959,11,0.0357671789824963
"708",1959,12,0.598045647144318
"709",1960,1,0.563065350055695
"710",1960,2,0.925069749355316
"711",1960,3,1.07031202316284
"712",1960,4,1.09482944011688
"713",1960,5,0.799241423606873
"714",1960,6,0.129943117499352
"715",1960,7,0.392202615737915
"716",1960,8,-0.151594042778015
"717",1960,9,0.504128158092499
"718",1960,10,1.08566641807556
"719",1960,11,1.48691284656525
"720",1960,12,1.12476134300232
"721",1961,1,1.10958623886108
"722",1961,2,0.848373770713806
"723",1961,3,0.60979837179184
"724",1961,4,0.495193243026733
"725",1961,5,1.03796112537384
"726",1961,6,1.11204349994659
"727",1961,7,1.19162034988403
"728",1961,8,0.814737379550934
"729",1961,9,-0.157912641763687
"730",1961,10,-0.281557947397232
"731",1961,11,-0.399347007274628
"732",1961,12,-0.543814182281494
"733",1962,1,-0.34973555803299
"734",1962,2,-0.202820330858231
"735",1962,3,0.18385437130928
